Date,Ticker,Lookback_Index,Attention_Weight
2025-03-21,ADBE,8,0.050344012677669525
2025-03-21,ADBE,9,0.050317469984292984
2025-03-21,ADBE,10,0.05023473873734474
2025-03-21,ADBE,11,0.05027250200510025
2025-03-21,ADBE,12,0.05019548535346985
2025-03-21,ADBE,13,0.05022013559937477
2025-03-21,ADBE,14,0.050197288393974304
2025-03-21,ADBE,15,0.04948306828737259
2025-03-21,ADBE,16,0.049437157809734344
2025-03-21,ADBE,17,0.04945836588740349
2025-03-21,ADBE,18,0.04940197989344597
2025-03-21,ADBE,19,0.0493043027818203
2025-03-21,ADBE,20,0.04945969209074974
2025-03-21,AMD,1,0.04998944327235222
2025-03-21,AMD,2,0.05002998933196068
2025-03-21,AMD,3,0.04997970908880234
2025-03-21,AMD,4,0.04997404292225838
2025-03-21,AMD,5,0.04985896125435829
2025-03-21,AMD,6,0.04985157027840614
2025-03-21,AMD,7,0.04992596060037613
2025-03-21,AMD,8,0.04991622641682625
2025-03-21,AMD,9,0.049931738525629044
2025-03-21,AMD,10,0.04996476694941521
2025-03-21,AMD,11,0.05007133260369301
2025-03-21,AMD,12,0.05005260184407234
2025-03-21,AMD,13,0.05009985342621803
2025-03-21,AMD,14,0.0500715933740139
2025-03-21,AMD,15,0.049979373812675476
2025-03-21,AMD,16,0.050033316016197205
2025-03-21,AMD,17,0.05008148029446602
2025-03-21,AMD,18,0.05007190257310867
2025-03-21,AMD,19,0.05004541203379631
2025-03-21,AMD,20,0.050070870667696
2025-03-21,CMCSA,1,0.04989597573876381
2025-03-21,CMCSA,2,0.049881089478731155
2025-03-21,CMCSA,3,0.04983555153012276
2025-03-21,CMCSA,4,0.049731772392988205
2025-03-21,CMCSA,5,0.04973364248871803
2025-03-21,CMCSA,6,0.04993457347154617
2025-03-21,CMCSA,7,0.05017349123954773
2025-03-21,CMCSA,8,0.05016809329390526
2025-03-21,CMCSA,9,0.05021155625581741
2025-03-21,CMCSA,10,0.050230395048856735
2025-03-21,CMCSA,11,0.050182752311229706
2025-03-21,CMCSA,12,0.05000291019678116
2025-03-21,CMCSA,13,0.0499829463660717
2025-03-21,CMCSA,14,0.04988780617713928
2025-03-21,CMCSA,15,0.049814995378255844
2025-03-21,CMCSA,16,0.049917493015527725
2025-03-21,CMCSA,17,0.05006388574838638
2025-03-21,CMCSA,18,0.050116539001464844
2025-03-21,CMCSA,19,0.050089508295059204
2025-03-21,CMCSA,20,0.05014509707689285
2025-03-21,COST,1,0.05062088370323181
2025-03-21,COST,2,0.050500690937042236
2025-03-21,COST,3,0.05042639747262001
2025-03-21,COST,4,0.05023576691746712
2025-03-21,COST,5,0.05018185079097748
2025-03-21,COST,6,0.050224173814058304
2025-03-21,COST,7,0.05023709312081337
2025-03-21,COST,8,0.05019736289978027
2025-03-21,COST,9,0.050172772258520126
2025-03-21,COST,10,0.05007821321487427
2025-03-21,COST,11,0.049862951040267944
2025-03-21,COST,12,0.049772702157497406
2025-03-21,COST,13,0.04972148686647415
2025-03-21,COST,14,0.04965692013502121
2025-03-21,COST,15,0.04953477159142494
2025-03-21,COST,16,0.049683578312397
2025-03-21,COST,17,0.04976222664117813
2025-03-21,COST,18,0.049738332629203796
2025-03-21,COST,19,0.04966845363378525
2025-03-21,COST,20,0.04972333088517189
2025-03-21,INTC,1,0.04997410625219345
2025-03-21,INTC,2,0.050025247037410736
2025-03-21,INTC,3,0.05010036379098892
2025-03-21,INTC,4,0.05012882500886917
2025-03-21,INTC,5,0.05009617283940315
2025-03-21,INTC,6,0.05006587877869606
2025-03-21,INTC,7,0.05008624494075775
2025-03-21,INTC,8,0.0500059649348259
2025-03-21,INTC,9,0.049944017082452774
2025-03-21,INTC,10,0.0499526783823967
2025-03-21,INTC,11,0.05003567412495613
2025-03-21,INTC,12,0.05009835213422775
2025-03-21,INTC,13,0.05011312663555145
2025-03-21,INTC,14,0.050012607127428055
2025-03-21,INTC,15,0.0498192124068737
2025-03-21,INTC,16,0.04982467368245125
2025-03-21,INTC,17,0.04990092292428017
2025-03-21,INTC,18,0.04998157545924187
2025-03-21,INTC,19,0.049871280789375305
2025-03-21,INTC,20,0.04996313527226448
2025-03-21,INTU,1,0.05047031491994858
2025-03-21,INTU,2,0.05046439170837402
2025-03-21,INTU,3,0.050309695303440094
2025-03-21,INTU,4,0.04998646676540375
2025-03-21,INTU,5,0.04975787177681923
2025-03-21,INTU,6,0.04977903142571449
2025-03-21,INTU,7,0.04985896870493889
2025-03-21,INTU,8,0.04981863498687744
2025-03-21,INTU,9,0.04989634454250336
2025-03-21,INTU,10,0.04993165284395218
2025-03-21,INTU,11,0.0500461719930172
2025-03-21,INTU,12,0.05000387504696846
2025-03-21,INTU,13,0.049948837608098984
2025-03-21,INTU,14,0.049878187477588654
2025-03-21,INTU,15,0.049835823476314545
2025-03-21,INTU,16,0.04993237182497978
2025-03-21,INTU,17,0.05004607513546944
2025-03-21,INTU,18,0.05005468800663948
2025-03-21,INTU,19,0.0499875433743
2025-03-21,INTU,20,0.049993064254522324
2025-03-21,MSFT,1,0.050204239785671234
2025-03-21,MSFT,2,0.0500495582818985
2025-03-21,MSFT,3,0.049910109490156174
2025-03-21,MSFT,4,0.04988837614655495
2025-03-21,MSFT,5,0.049855269491672516
2025-03-21,MSFT,6,0.05003639683127403
2025-03-21,MSFT,7,0.050065238028764725
2025-03-21,MSFT,8,0.05008998140692711
2025-03-21,MSFT,9,0.05006839707493782
2025-03-21,MSFT,10,0.04998469352722168
2025-03-21,MSFT,11,0.050027307122945786
2025-03-21,MSFT,12,0.049930281937122345
2025-03-21,MSFT,13,0.04990670084953308
2025-03-21,MSFT,14,0.04992055147886276
2025-03-21,MSFT,15,0.04991099610924721
